Newspaper,Bank,Frequency,Year,Month,Day,Number,Readership,Title,Section,Text,State,branch,identifier,length,nwords,FSB,Bank_type,Depositors,coverage
New York Daily Tribune,Eighth National Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,dividend notice.,Financial,the board of directors have this day declared a divident of five per cent (free of tax) out of the profits of the bank. payable on and after the 3d january 1865. transfer books will be closed from the 26th inst. to the 4th prox.,NY,New York City,1865010212214,239.0,46.0,0.0,National,,1865-1872
New York Daily Tribune,Manufacturers' Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,the manufacturers' bank,Financial,"the manufacturers' bank, brooklyn, n.y.. have declared a cash dividend of eight per cent, oayable on demand, and a stock dividend of twenty per cent, payable on and after the 11th day of january next. the transfer books are closed until the 10th january next inclusive. ",NY,New York City,1865010212218,270.0,46.0,0.0,State,,1865-1872
New York Daily Tribune,Metropolitan Savings Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,dividend.,Financial,"the director of the metropolitan bank have this day declared a semi-annual dividend of five per cent (free of tax), payable after 1st monday of january next. the transfer books to remain closed from dec. 17 until jan. 1965.",NY,New York City,1865010212211,234.0,40.0,0.0,Savings,,1865-1872
New York Daily Tribune,Dime Savings Bank of Williamsburghh,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,union dime savings bank,Savings Bank,"open daily from 10 am to 3 and on monday, wedenday and saturday evenings from 5 to 7 pm. six per cent interest, free from tax, allowed on sums of $? and under and five per cent on larger sums. money deposited on or before january 20 will bear interest from january 1.",NY,New York City,1865010212219,278.0,54.0,0.0,Savings,,1865-1872
New York Daily Tribune,Mechanics' and Traders' Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,mechanics' and traders' bank,Financial,"an election for directors of this institution for the ensuing year, and for three inspectors for the next ensuing election, will be hold at the banking house, on wednesday, the 11th day of january, 1865. poll will be opened from 2 to 3 pm",NY,New York City,1865010212213,238.0,44.0,0.0,State,,1865-1872
New York Daily Tribune,Ninth National Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,ninth national bank,Financial,"notice is hereby given that an election for nine directors to serve for the ensuing year, will be held at this bank on tuesday, january 10, 1865, between the hours of 12 and 2 o'clock.",NY,New York City,1865010212205,184.0,35.0,0.0,National,,1865-1872
New York Daily Tribune,Ninth National Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,ten-forty loan.,Financial,"the subscription to this gold interest loan will be open for this week at the fiscal agency of the u.s. treasury, the ninthh national bank. all five per cent interest bearing notes of the united states received in payment, and the accured interest allowed.",NY,New York City,1865010212216,256.0,44.0,0.0,National,,1865-1872
New York Daily Tribune,Citizens' Savings Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,citizens' savings bank,Savings Bank,"six per cent interest allowed on all sums of five hundred dollars and under, and six per cent on larger amount. money deposited now will draw interest from january 1. bank open daily from 10 to 3, and on monday, wednesday and friday evenings from 5 to 7. bank books in english, germain and french.",NY,New York City,1865010212221,297.0,55.0,0.0,Savings,,1865-1872
New York Daily Tribune,Mariners' Savings Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,dividend.-,Savings Bank,"the semi-annual dividend, free from govenment tax, at the rate of six per cent per annum on all sums from $5 to $500, and five per cent on sums over $500, will be payable on and after the 21st of january 1864. bank open daily from 10 am to 2 pm. and on monday, wednesday, and saturday evenings from 6 to 7 o'clock.",NY,New York City,1865010212223,314.0,63.0,0.0,Savings,,1865-1872
New York Daily Tribune,Phenix National Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,phenix bank,Financial,"a dividend of five per cent, (free of tax), has been declared this day, payable on and after january 3d, 1865, until which date the transfer books are closed.",NY,New York City,1865010212204,169.0,30.0,0.0,National,,1865-1872
New York Daily Tribune,New York Savings Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,new-york savings bank,Savings Bank,open daily from 1 to 5 pm wedesdays and saturdays from 1 to 7 o'clock. six per cent interest allowed. the january dividend will be paid free from govenment tax. money deposits on or before jan. 10 will draw interest from jan. 1. ,NY,New York City,1865010212209,229.0,43.0,0.0,Savings,,1865-1872
New York Daily Tribune,Chatham Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,chatham bank dividend.,Financial,"a dividend of six per cent, free of tax, out of profits of the past six months, will be paid to the stockholders of this bank on and after tuesday, 3d january 1865. the transfer books to remain closed from 23d inst. to day of payment inclusive. by order of the board.",NY,New York City,1865010212220,278.0,53.0,0.0,State,,1865-1872
New York Daily Tribune,Ninth National Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,ninth national bank,Financial,"a dividend of five per cent, free of tax, will be paid to the stockholders of this bank on the 3d day of january 1865. the transfer books close on the 24th instant., to reopen  january 3, 1865. by order of the board.",NY,New York City,1865010212208,227.0,44.0,0.0,National,,1865-1872
New York Daily Tribune,Tradersmen's Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,tradersmen's bank,Financial,"a dividend of six per cent, (free of tax), has been declared payable to the stockholders on and after the 3d day of january.",NY,New York City,1865010212202,135.0,25.0,0.0,State,,1865-1872
New York Daily Tribune,East River Savings Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,east river savings bank,Financial,"the board of directors have declared a dividend from the profits of the last six months, of four per cent, free of tax, payable on and after the jan 3. 1865. transfer books will be closed from the 23d inst. to jan. 3, inclusive.",NY,New York City,1865010212215,239.0,45.0,0.0,Savings,,1865-1872
New York Daily Tribune,Atlantic Savings Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,atlantic savings bank,Savings Bank,"six per cent interest allowed. open daily. deposits made now or before january 2, will draw interest from that that.",NY,New York City,1865010212201,116.0,20.0,0.0,Savings,,1865-1872
New York Daily Tribune,National Broadway Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,broadway bank,Financial,"thirtieth dividend. a semi-annual dividend of ten per cent on the capital stock of this bank has this day been declared from the profits of teh current six months, payable on and after the 3d day of januart, 1865. by order of the board.",NY,New York City,1865010212212,236.0,44.0,0.0,National,,1865-1872
New York Daily Tribune,East River Savings Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,east river savings bank,Financial,"dividend.-the usual semi-annual dividend, at the rate of six cent per annum on all sums from $1 to $500, and five per cent per annum on sums over $500, will be payable on and after the 10th day pf january, 1865. bank open daily from 10 a.m. to 3 p.m., and on thursday evening from 5 to.7 clock. wm.h. slocum, president. chas a. whitnet secretary.",NY,New York City,1865010212224,346.0,65.0,0.0,Savings,,1865-1872
New York Daily Tribune,Manhattan Savings Institution,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,manhattan savings institution,Savings Bank,"twenty-eight semi-annual dividend. the trustees of this institution have declared the twenty eighth semi-annual dividend on all deposits ( by the rules entitled thereto) at the rate of six per cent per annum on sums of $500 and under, and five per cent per annum on amounts exceeding $500, free of tax, paybale on and after the 16th day of january. the dividend will be credited under date of january 1, and if not withdrawn will receive interest the same as a deposit.",NY,New York City,1865010212227,480.0,84.0,0.0,Savings,,1865-1872
New York Daily Tribune,Tenth National Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,tenth national bank,Financial,"a dividend of five per cent, free of tax, has been declared, payable to the stockholders on the 3d day of january next. the transfer books close on the 27th inst., and open on the 3d of january.  hogn h. stout, cashier.",NY,New York City,1865010212210,230.0,43.0,0.0,National,,1865-1872
New York Daily Tribune,Fourth National Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,the fourth national bank of the city of new york,Commercial Matters,"this bank has ready for sale (allowing the commission to purchase) u.s. 73`10 notes, which at maturity are convertible into a six per cent gold bearing loan; collects warrants, certificates, maturing loans and drafts and attends to all financial business with government. parties wishing to avoid the delay and inconvenience of direct correspondence with the departments, are invited to apply at this bank. morris ketchum, president. d.w. vauohan, cashier.",NY,New York City,1865010212226,456.0,69.0,0.0,National,,1865-1872
New York Daily Tribune,Manufacturers' and Merchants' Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,manufacturers' and merchants' bank,Financial,"dividend.- the board of directors have this day declared a divident of five per cent. payable to stockholders free of tax, on and after the 3d day of january next. transfer books will be closed from december 27 to january 3, inclusive. a masterton, cashier.",NY,New York City,1865010212217,268.0,46.0,0.0,State,,1865-1872
New York Daily Tribune,Irving Savings Institution,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,irving savings institution,Savings Bank,"interest allowed at the rate of 6 per cent on all sums entitled thereto. open daily from 10 to 2 pm and on monday, thursday and saturday afternoons, from 4 to 7 pm. n.b.- money to loan on bond and mortgage.",NY,New York City,1865010212207,206.0,41.0,0.0,Savings,,1865-1872
New York Daily Tribune,Greenwich Savings Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,greenwich savings bank,Savings Bank,"january interest for 1865. the board of trustees of this intitution have directed that interest at the rate of five per cent per annum on all sums of five hundred dollars and under, and of four per ent per annum on deposits over five hundred dollars free from tax to be allowed to all deposits entitled thereto, payable on and after monday, january 16, 1865. all interest not drawn will draw interest from january 1st on principal.",NY,New York City,1865010212225,442.0,78.0,0.0,Savings,,1865-1872
New York Daily Tribune,Williamsburghh Savings Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,dividend notice,Savings Bank,"depositors are hereby notified that a semi-annual dividend at the rate of six per cent per annum on all sums of three dollars and upward, that shall have been deposited three months on the first day of january 16, free from tax. interest not called for will be passed to the credit of depositors as principal. deposits made on or before the 10th day of january will draw interest from the 1st. the funds of this institutions are securely invested in bonds and mortgages on real estate, worth double the amount loaned; and in city, county, and united state stocks. the bank is open for business daily (sundays and holidays excepted) on mondays and saturdays from 3 to 7 o'clock pm; and on tuesdays, wednesdats, thursdats and fridays from 10 o'clock am until 2 pm.",NY,New York City,1865010212228,773.0,136.0,0.0,Savings,,1865-1872
New York Daily Tribune,Bank of North America,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,bank of north america,Financial,"the board of directors have this day declared a dividend of five per cent, free of tax, payable on and after january 3d. the transfer books are closed from this date to day of payment.",NY,New York City,1865010212206,195.0,36.0,0.0,National,,1865-1872
New York Daily Tribune,Greenwich Savings Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,notice to stockholders,Financial,"the annual election for nine directors for the ensuing year and three inspectors of the next election, will be held at the banking house on the second monday of january next, being the 9th day of said month. poll to open at 12 o'clock and close at 1 o'clock pm. by order of the board of directors.",NY,New York City,1865010212222,297.0,57.0,0.0,Savings,,1865-1872
New York Daily Tribune,Mariners' Savings Bank,Daily,1865,1,2.0,Vol. XXIV. No. 7408,General Audience,mariners' savings bank,Savings Bank,"deposits will draw interest from the 1st january. bank open daily from 10 am to 2 pm and on monday, wedesday and saturday evenings, from 5 to 7 o'clock.",NY,New York City,1865010212203,152.0,29.0,0.0,Savings,,1865-1872
Daily Dispatch,Bank of Virginia,Daily,1865,1,2.0,,General Audience,notice,Notice,"the general meeting of the stockholders of the bank of virginia will be held at their banking-house, in the city of richmond, on monday, the 9th of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. ",VA,Richmond,1865010207201,413.0,76.0,0.0,State,,1865-1870
Daily Dispatch,Bank of Virginia,Daily,1865,1,3.0,,General Audience,notice,Notice,"the general meeting of the stockholders of the bank of virginia will be held at their banking-house, in the city of richmond, on monday, the 9th of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. ",VA,Richmond,1865010307201,413.0,76.0,0.0,State,,1865-1870
Daily Dispatch,Farmer's Bank of Virginia,Daily,1865,1,4.0,,General Audience,farmer's bank of virginia,Notice,"the general meeting of the stockholders of the farmers bank of virginia will be held at their banking-house, in the city of richmond, on wednesday, the 11th day of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. ",VA,Richmond,1865010407202,429.0,78.0,0.0,State,,1865-1870
Daily Dispatch,Bank of Virginia,Daily,1865,1,4.0,,General Audience,notice,Notice,"the general meeting of the stockholders of the bank of virginia will be held at their banking-house, in the city of richmond, on monday, the 9th of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. ",VA,Richmond,1865010407201,413.0,76.0,0.0,State,,1865-1870
Daily Dispatch,Bank of Virginia,Daily,1865,1,6.0,"Vol 28, no. 5",General Audience,notice,Notice,"the general meeting of the stockholders of the bank of virginia will be held at their banking-house, in the city of richmond, on monday, the 9th of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. ",VA,Richmond,1865010607201,413.0,76.0,0.0,State,,1865-1870
Daily Dispatch,Farmer's Bank of Virginia,Daily,1865,1,6.0,"Vol 28, no. 5",General Audience,farmer's bank of virginia,Notice,"the general meeting of the stockholders of the farmers bank of virginia will be held at their banking-house, in the city of richmond, on wednesday, the 11th day of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. ",VA,Richmond,1865010607202,429.0,78.0,0.0,State,,1865-1870
Daily Dispatch,Farmer's Bank of Virginia,Daily,1865,1,7.0,,General Audience,farmer's bank of virginia,Notice,"the general meeting of the stockholders of the farmers bank of virginia will be held at their banking-house, in the city of richmond, on wednesday, the 11th day of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. ",VA,Richmond,1865010707202,429.0,78.0,0.0,State,,1865-1870
Daily Dispatch,Bank of Virginia,Daily,1865,1,7.0, ,General Audience,notice,Notice,"the general meeting of the stockholders of the bank of virginia will be held at their banking-house, in the city of richmond, on monday, the 9th of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. ",VA,Richmond,1865010707201,413.0,76.0,0.0,State,,1865-1870
Daily Dispatch,Farmer's Bank of Virginia,Daily,1865,1,9.0,,General Audience,farmer's bank of virginia,Notice,"the general meeting of the stockholders of the farmers bank of virginia will be held at their banking-house, in the city of richmond, on wednesday, the 11th day of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. ",VA,Richmond,1865010907202,429.0,78.0,0.0,State,,1865-1870
Daily Dispatch,Bank of Virginia,Daily,1865,1,9.0, ,General Audience,notice,Notice,"the general meeting of the stockholders of the bank of virginia will be held at their banking-house, in the city of richmond, on monday, the 9th of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. ",VA,Richmond,1865010907201,413.0,76.0,0.0,State,,1865-1870
Evening Star,Washington City Savings Bank,Daily,1865,1,9.0,"Vol. XXV, no 3700",General Audience,washington city savings bank,"Bankers, Savings Bank","washington city savings bank, incorporated march 8th, 1854 - edward simms, president and treasurer. edward clark, vice president and secretary. directors. wm. p. dole, j. j. coombs, john r. elvans, thos. j. gardner, s. v. niles. this bank is now open for the receipt of deposits, at the new banking house, no. 58 louisiana av., under simm's new building. edward clark, secretary. edward clark & co., bankers, at the savings bank, no. 58 louisiana avenue. dealers in exchange, gold and silver, and general banking business. edward clark, john r. elvans.",DC,Washington,1865010909201,552.0,90.0,0.0,Savings,,1865-1873
Daily Dispatch,Farmer's Bank of Virginia,Daily,1865,1,11.0,,General Audience,farmer's bank of virginia,Notice,"the general meeting of the stockholders of the farmers bank of virginia will be held at their banking-house, in the city of richmond, on wednesday, the 11th day of january, 1865. the law provides that no officer or director of the bank shall vote as the proxy of a stockholder in any election of directors or others of the bank, nor shall any proxy be valid which shall have been executed sixty days before the time of election. ",VA,Richmond,1865011107201,429.0,78.0,0.0,State,,1865-1870
Daily Dispatch,Farmer's Bank of Virginia,Daily,1865,1,16.0,,General Audience,farmer's bank of virginia,Notice,"the members of the virginia savings bank will meet this (monday) morning at 10 o'clock, at the store of e.b. spence, esq. on business of importance. ",VA,Richmond,1865011607201,149.0,26.0,0.0,State,,1865-1870
New York Times,FSB,Daily,1865,3,4.0,Vol. XIV. No. 4192,General Audience,freedmen's banks,House of Representatives,"fsbs. mr. eliot, of massachusetts, (union) moved a suspension of the rules, to take up the senate bill to incorporate the fsb. mr. eldridge objected. mr. eliot - there can be no objection to the bill. mr. james c. allen, of illinois. (dem...) called for the reading of the title of the bill. the noise was so great he could not at first hear it. the house began voting by tellers, and while this was going on the speaker was engaged in signing enrolled bills. the house by a vote of 72 yeas against 36 nays suspended the rules, and, under the operation of the previous question, the bill was passed.",NY,New York City,1865030418201,644.0,116.0,1.0,Savings,Minority,1865-1874
New York Times,Atlantic Savings Bank,Daily,1865,4,3.0,Vol. XIV. No. 4219,General Audience,atlantic savings bank,Savings Banks,"atlantic savings bank, chatham square, new york, open daily. six per cent. interest allowed. deposits made now or on or before april 20, will draw interest from april 1. m. d. van pelt, president. charles d. bailey, treasurer. joseph p. cooper, secretary.",NY,New York City,1865040318202,255.0,42.0,0.0,Savings,,1865-1874
New York Times,FSB,Daily,1865,4,3.0,Vol. XIV. No. 4219,General Audience,dispatches to the associated press. a freedmen's national bank,News from Washington,"several days ago, a dozen colored men from boston, new york, philadelphia, washington and elsewhere, met by invitation at the room of senator pomeboy, of kansas, to initiate measures for establishing a freedmen's national bank, to be located in this city. one of the colored men is reported to be worth $150,000, which he has invested in government securities. there was wealth enough amongst them to subscribe to a capital of $200,000. application was accordingly made to the comptroller of the currency for the proper authorization to establish such bank. this request will be granted, provided the state banks converting themselves into national banks, which have a preference, shall not absorb the limit of the aggregate capital prescribed by congress. a final decision will be given after the 1st of july next on the application for a fsb.",NY,New York City,1865040318206,856.0,139.0,1.0,Savings,Minority,1865-1874
New York Times,Citizens' Savings Bank,Daily,1865,4,3.0,Vol. XIV. No. 4219,General Audience,citizens' savings bank,Savings Banks,"citizens' savings bank. bowery, corner of canal st. six per cent interest allowed on all sums of $500 and under, and five per cent on larger amounts. money deposited on or before april 20 will draw interest from april 1. bank open daily from 10 to 3 and on monday, wednesday and friday evenings, from 5 to 7. bank-books in english. german and french. geo. folsom, president. seymour a. bunce, secretary. ",NY,New York City,1865040318203,404.0,71.0,0.0,Savings,,1865-1874
New York Times,Third Avenue Savings Bank,Daily,1865,4,3.0,Vol. XIV. No. 4219,General Audience,six per cent - free from government tax,Savings Banks,"six per cent - free from tax. third avenue savings bank, corner third-avenue and twenty sixth street. present deposits, $1,675,000. six per cent interest paid on all sums from $1 to $1000 free from tax. all moneys deposited on or before april 10 will draw interest from the 1st. bank open daily from 10 am to 3 om and on monday, wednesday and saturday evenings from 6 to 8 o'clock. spencer k. green, president. richard kelly, secretary.",NY,New York City,1865040318205,458.0,79.0,0.0,Savings,,1865-1874
New York Times,Franklin Savings Bank,Daily,1865,4,3.0,Vol. XIV. No. 4219,General Audience,franklin savings bank,Savings Banks,"franklin savings bank - corner of 42nd st, and 8 th. open daily. interest 6 per cent. deposits made before the 21st of april draw interest from the 1st of april. samuel newby, president. james t. chamberlain, secretary.",NY,New York City,1865040318201,219.0,38.0,0.0,Savings,,1865-1874
New York Times,Dime Savings Bank of Williamsburghh,Daily,1865,4,3.0,Vol. XIV. No. 4219,General Audience,union dime savings bank,Savings Banks,"union dime savings bank. nos. 427 and 429 canal st, corner of varick. assets, $1,315,570 15. open daily from 10 am to 3 pm and on monday, wednesday and saturday evenings, from 5 to 7. six per cent interest free from tax, allowd on sums of and under, and five per cent on larger sums. money deposited on or before april 20 will beat interest from april 1. eder v. haughwout, president. gardner s. chaplin, secretary.",NY,New York City,1865040318204,426.0,77.0,0.0,Savings,,1865-1874
New York Times,New York Savings Bank,Daily,1865,4,4.0,Vol. XIV. No. 4220,General Audience,new york savings bank,Savings Banks,"new york savings bank, corner of 14th st and 18th av, open daily from 1 to 5 pm. wednesdays and saturdays from 1 to 7 pm. six per cent interest free from tax. deposits made on or before april 10 will draw interest at once. thos. christy, president. r. h. bull, secretary.",NY,New York City,1865040418201,282.0,53.0,0.0,Savings,,1865-1874
New York Times,Third Avenue Savings Bank,Daily,1865,4,5.0,Vol. XIV. No. 4221,General Audience,six per cent - free from government tax,Savings Banks,"six per cent - free from tax. third avenue savings bank, corner third-avenue and twenty sixth street. present deposits, $1,675,000. six per cent interest paid on all sums from $1 to $1000 free from tax. all moneys deposited on or before april 10 will draw interest from the 1st. bank open daily from 10 am to 3 om and on monday, wednesday and saturday evenings from 6 to 8 o'clock. spencer k. green, president. richard kelly, secretary.",NY,New York City,1865040518201,458.0,79.0,0.0,Savings,,1865-1874
New York Times,Dime Savings Bank of Williamsburghh,Daily,1865,4,6.0,Vol. XIV. No. 4222,General Audience,union dime savings bank,Savings Banks,"union dime savings bank. nos. 427 and 429 canal st, corner of varick. assets, $1,315,570 15. open daily from 10 am to 3 pm and on monday, wednesday and saturday evenings, from 5 to 7. six per cent interest free from tax, allowd on sums of and under, and five per cent on larger sums. money deposited on or before april 20 will beat interest from april 1. eder v. haughwout, president. gardner s. chaplin, secretary.",NY,New York City,1865040618205,426.0,77.0,0.0,Savings,,1865-1874
New York Times,Citizens' Savings Bank,Daily,1865,4,6.0,Vol. XIV. No. 4222,General Audience,citizens' savings bank,Savings Banks,"citizens' savings bank. bowery, corner of canal st. six per cent interest allowed on all sums of $500 and under, and five per cent on larger amounts. money deposited on or before april 20 will draw interest from april 1. bank open daily from 10 to 3 and on monday, wednesday and friday evenings, from 5 to 7. bank-books in english. german and french. geo. folsom, president. seymour a. bunce, secretary. ",NY,New York City,1865040618204,404.0,71.0,0.0,Savings,,1865-1874
New York Times,Atlantic Savings Bank,Daily,1865,4,6.0,Vol. XIV. No. 4222,General Audience,atlantic savings bank,Savings Banks,"atlantic savings bank, chatham square, new york, open daily. six per cent. interest allowed. deposits made now or on or before april 20, will draw interest from april 1. m. d. van pelt, president. charles d. bailey, treasurer. joseph p. cooper, secretary.",NY,New York City,1865040618202,255.0,42.0,0.0,Savings,,1865-1874
New York Times,Third Avenue Savings Bank,Daily,1865,4,6.0,Vol. XIV. No. 4222,General Audience,six per cent - free from government tax,Savings Banks,"six per cent - free from tax. third avenue savings bank, corner third-avenue and twenty sixth street. present deposits, $1,675,000. six per cent interest paid on all sums from $1 to $1000 free from tax. all moneys deposited on or before april 10 will draw interest from the 1st. bank open daily from 10 am to 3 om and on monday, wednesday and saturday evenings from 6 to 8 o'clock. spencer k. green, president. richard kelly, secretary.",NY,New York City,1865040618206,458.0,79.0,0.0,Savings,,1865-1874
New York Times,Market Savings Bank,Daily,1865,4,6.0,Vol. XIV. No. 4222,General Audience,market savings bank,Savings Banks,"market savings bank, no. 82 nassau st, new york. open daily. six per cent interest allowed. money deposited now will draw interest from april 1. james c. stoneall, president. henry r. conelin, secretary.",NY,New York City,1865040618201,203.0,33.0,0.0,Savings,,1865-1874
New York Times,New York Savings Bank,Daily,1865,4,6.0,Vol. XIV. No. 4222,General Audience,new york savings bank,Savings Banks,"new york savings bank, corner of 14th st and 18th av, open daily from 1 to 5 pm. wednesdays and saturdays from 1 to 7 pm. six per cent interest free from tax. deposits made on or before april 10 will draw interest at once. thos. christy, president. r. h. bull, secretary.",NY,New York City,1865040618203,282.0,53.0,0.0,Savings,,1865-1874
New York Times,Third Avenue Savings Bank,Daily,1865,4,7.0,Vol. XIV. No. 4223,General Audience,six per cent - free from government tax,Savings Banks,"six per cent - free from tax. third avenue savings bank, corner third-avenue and twenty sixth street. present deposits, $1,675,000. six per cent interest paid on all sums from $1 to $1000 free from tax. all moneys deposited on or before april 10 will draw interest from the 1st. bank open daily from 10 am to 3 om and on monday, wednesday and saturday evenings from 6 to 8 o'clock. spencer k. green, president. richard kelly, secretary.",NY,New York City,1865040718206,458.0,79.0,0.0,Savings,,1865-1874
New York Times,New York Savings Bank,Daily,1865,4,7.0,Vol. XIV. No. 4223,General Audience,new york savings bank,Savings Banks,"new york savings bank, corner of 14th st and 18th av, open daily from 1 to 5 pm. wednesdays and saturdays from 1 to 7 pm. six per cent interest free from tax. deposits made on or before april 10 will draw interest at once. thos. christy, president. r. h. bull, secretary.",NY,New York City,1865040718203,282.0,53.0,0.0,Savings,,1865-1874
New York Times,Franklin Savings Bank,Daily,1865,4,7.0,Vol. XIV. No. 4223,General Audience,franklin savings bank,Savings Banks,"franklin savings bank - corner of 42nd st, and 8 th. open daily. interest 6 per cent. deposits made before the 21st of april draw interest from the 1st of april. samuel newby, president. james t. chamberlain, secretary.",NY,New York City,1865040718201,219.0,38.0,0.0,Savings,,1865-1874
New York Times,Dime Savings Bank of Williamsburghh,Daily,1865,4,7.0,Vol. XIV. No. 4223,General Audience,union dime savings bank,Savings Banks,"union dime savings bank. nos. 427 and 429 canal st, corner of varick. assets, $1,315,570 15. open daily from 10 am to 3 pm and on monday, wednesday and saturday evenings, from 5 to 7. six per cent interest free from tax, allowd on sums of and under, and five per cent on larger sums. money deposited on or before april 20 will beat interest from april 1. eder v. haughwout, president. gardner s. chaplin, secretary.",NY,New York City,1865040718205,426.0,77.0,0.0,Savings,,1865-1874
New York Times,Atlantic Savings Bank,Daily,1865,4,7.0,Vol. XIV. No. 4223,General Audience,atlantic savings bank,Savings Banks,"atlantic savings bank, chatham square, new york, open daily. six per cent. interest allowed. deposits made now or on or before april 20, will draw interest from april 1. m. d. van pelt, president. charles d. bailey, treasurer. joseph p. cooper, secretary.",NY,New York City,1865040718202,255.0,42.0,0.0,Savings,,1865-1874
