Year,Month,Day,identifier,Newspaper,State,Title,Text
1865,1,2,1865010212209,New York Daily Tribune,NY,new-york savings bank,open daily from 1 to 5 pm wedesdays and saturdays from 1 to 7 o'clock. six per cent interest allowed. the january dividend will be paid free from govenment tax. money deposits on or before jan. 10 will draw interest from jan. 1. 
1865,1,2,1865010212203,New York Daily Tribune,NY,mariners' savings bank,"deposits will draw interest from the 1st january. bank open daily from 10 am to 2 pm and on monday, wedesday and saturday evenings, from 5 to 7 o'clock."
1865,1,2,1865010212216,New York Daily Tribune,NY,ten-forty loan.,"the subscription to this gold interest loan will be open for this week at the fiscal agency of the u.s. treasury, the ninthh national bank. all five per cent interest bearing notes of the united states received in payment, and the accured interest allowed."
1865,1,2,1865010212211,New York Daily Tribune,NY,dividend.,"the director of the metropolitan bank have this day declared a semi-annual dividend of five per cent (free of tax), payable after 1st monday of january next. the transfer books to remain closed from dec. 17 until jan. 1965."
1865,1,2,1865010212214,New York Daily Tribune,NY,dividend notice.,the board of directors have this day declared a divident of five per cent (free of tax) out of the profits of the bank. payable on and after the 3d january 1865. transfer books will be closed from the 26th inst. to the 4th prox.
1865,1,2,1865010212212,New York Daily Tribune,NY,broadway bank,"thirtieth dividend. a semi-annual dividend of ten per cent on the capital stock of this bank has this day been declared from the profits of teh current six months, payable on and after the 3d day of januart, 1865. by order of the board."
1865,1,2,1865010212220,New York Daily Tribune,NY,chatham bank dividend.,"a dividend of six per cent, free of tax, out of profits of the past six months, will be paid to the stockholders of this bank on and after tuesday, 3d january 1865. the transfer books to remain closed from 23d inst. to day of payment inclusive. by order of the board."
1865,1,2,1865010212204,New York Daily Tribune,NY,phenix bank,"a dividend of five per cent, (free of tax), has been declared this day, payable on and after january 3d, 1865, until which date the transfer books are closed."
1865,1,2,1865010212207,New York Daily Tribune,NY,irving savings institution,"interest allowed at the rate of 6 per cent on all sums entitled thereto. open daily from 10 to 2 pm and on monday, thursday and saturday afternoons, from 4 to 7 pm. n.b.- money to loan on bond and mortgage."
1865,1,2,1865010212228,New York Daily Tribune,NY,dividend notice,"depositors are hereby notified that a semi-annual dividend at the rate of six per cent per annum on all sums of three dollars and upward, that shall have been deposited three months on the first day of january 16, free from tax. interest not called for will be passed to the credit of depositors as principal. deposits made on or before the 10th day of january will draw interest from the 1st. the funds of this institutions are securely invested in bonds and mortgages on real estate, worth double the amount loaned; and in city, county, and united state stocks. the bank is open for business daily (sundays and holidays excepted) on mondays and saturdays from 3 to 7 o'clock pm; and on tuesdays, wednesdats, thursdats and fridays from 10 o'clock am until 2 pm."
